選手名,年齢,級班,府県,ホーム,期別,タイプ1,タイプ2,先行意欲,番手経験,先頭を残す動きは？,飛び付き可能性,並走可能性,横の動きへの対応,スピード（縦脚含む）,仕掛け,スタミナ,スタート・位置取り評価,単騎での動き,競輪IQ（ラインの意識）,暴走の有無（斜行や激しい横の動きなど）,相性◯バンク,相性✕バンク,不得意季節,コメント
阿部 拓真,34,S級S班,宮城,,107期,自在,,◯,◯,◯,◯,✕,◯,△,△,△,◯,◯,◯,◯,,,,
嘉永 泰斗,27,S級S班,熊本,熊本,113期,自在,,◯,◯,◯,✕,✕,△,◯,◯,△,✕,✕,◯,✕,函館,,,
郡司 浩平,35,S級S班,神奈川,川崎,99期,自在,,◯,◯,◯,✕,✕,◯,◯,◎,◯,◯,◯,◯,◯,,,,
古性 優作,34,S級S班,大阪,,100期,自在,,△,◯,◯,✕,◯,◯,◯,◯,◯,◯,◯,◯,◯,,,,自力は厳しくなっている。と本人コメントあり
寺崎 浩平,31,S級S班,福井,福井,117期,先行,捲,◯,◯,◯,✕,✕,△,◎,◎,◯,◯,✕,◯,✕,福井,,,本圧・倒古的性ななスどピのー つSSド く班を 場な誇 合どる はが先 捲つ行 りく選 に時手 構は。 え逃実 るげ力 とるは きがが 皆力あ もがる 御 。劣存る知先の輩通選り手。脇が
南 修二,44,S級S班,大阪,岸和田,88期,追い込み,,✕,◯,◯,✕,✕,◯,◯,◯,◯,◯,◯,◯,◯,,,,
眞杉 匠,26,S級S班,栃木,宇都宮,113期,自在,,◯,◯,◯,◯,◯,◯,◯,◎,◯,◯,◯,◯,◯,,,,
吉田 拓矢,30,S級S班,茨城,取手,107期,自在,,△,◯,◯,✕,✕,△,◯,◯,◯,◯,✕,◯,✕,,,,
脇本 雄太,36,S級S班,福井,福井,94期,捲,先行,◯,◯,✕,✕,✕,✕,◎,◯,◯,✕,✕,◯,✕,,,,
青野 将大,31,S級1班,神奈川,川崎,117期,先行,,◯,◯,◯,✕,✕,△,◯,◯,◯,✕,✕,◯,✕,,,,基本的はに捲はる先時行はをあしるてがくれ自る分。の安ス心タ感イルはをあ貫る。い時てとく場れ合るに。よって
浅井 康太,41,S級1班,三重,四日市,90期,追い込み,,△,◯,◯,◯,✕,◯,◯,◯,△,◯,◯,◯,◯,,,,
朝倉 佳弘,44,S級1班,東京,京王閣,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
芦澤 辰弘,37,S級1班,茨城,取手,95期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,◯,,,,
芦澤 大輔,43,S級1班,茨城,取手,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
阿竹 智史,43,S級1班,徳島,小松島,90期,追い込み,,✕,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,
阿部 将大,29,S級1班,大分,別府,117期,自在,,△,◯,◯,✕,✕,△,◯,△,△,◯,✕,◯,✕,高知,,,自在性と自力を兼ね想備すえるて際いはる気。たをだつ徹け底る。先行ではないので予
阿部 力也,37,S級1班,宮城,,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,◯,◯,◯,,,,失格点の多さが気になる。
雨谷 一樹,35,S級1班,栃木,宇都宮,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
荒井 崇博,47,S級1班,長崎,佐世保,82期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,◯,◯,✕,,,,
飯野 祐太,41,S級1班,福島,いわき平,90期,自在,,✕,◯,◯,◯,✕,◯,△,△,△,✕,✕,◯,✕,,,,
池野 健太,33,S級1班,兵庫,,109期,自在,,◯,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
石川 裕二,41,S級1班,茨城,取手,99期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
石塚 孝幸,45,S級1班,神奈川,川崎,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
石塚 輪太郎,31,S級1班,和歌山,和歌山,105期,自在,,△,◯,◯,◯,◯,◯,△,△,△,✕,✕,◯,✕,,,,
石原 颯,25,S級1班,香川,高松,117期,先行,,◯,◯,◯,✕,✕,✕,◎,◯,△,✕,✕,◯,✕,,,,かりをまおし願だけいでし、は突上っ位張メり使 ンをバ う含か ーんら にだや は先り 勝 た行て くをな なしい いて。 。いラきイたンいの。他S取選り手はに脚S取を
磯田 旭,35,S級1班,栃木,宇都宮,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
市橋 司優人,33,S級1班,福岡,小倉,103期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
五日市 誠,41,S級1班,青森,,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
伊藤 旭,25,S級1班,熊本,熊本,117期,自在,,△,◯,◯,◯,◯,◯,◯,△,△,◯,◯,✕,✕,,,,初で手自位分置が勝取 のつりに でレは そー長 こスは けを要 てす注 いる。意 るごが 。く単 本ご騎 当く稀は に 絶に逃先対 げ行に な 買 いをす。 い 捲る。 り場メ合イがンなあのる
伊藤 颯馬,26,S級1班,沖縄,,115期,先行,,◯,◯,◯,✕,◯,◯,◯,◯,△,◯,✕,◯,✕,,,,
犬伏 湧也,30,S級1班,徳島,小松島,119期,先行,捲,◯,✕,✕,✕,✕,◎,◎,◯,✕,✕,◯,✕,,,,,
井上 昌己,46,S級1班,長崎,佐世保,86期,追い込み,,✕,◯,◯,✕,✕,✕,△,△,△,✕,✕,◯,✕,,,,
岩谷 拓磨,28,S級1班,福岡,小倉,115期,捲,,△,◯,△,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
岩津 裕介,43,S級1班,岡山,玉野,87期,追い込み,,✕,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
岩本 俊介,41,S級1班,千葉,千葉,94期,自在,,△,◯,◯,✕,✕,◯,◯,◯,◯,◯,◯,◯,✕,,,,凌ぐ技がある。そこがメインになってきているのかな？
上田 国広,42,S級1班,三重,四日市,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
上田 尭弥,27,S級1班,熊本,熊本,113期,捲,,△,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
上野 優太,28,S級1班,熊本,熊本,113期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大川 龍二,41,S級1班,広島,広島,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
太田 海也,26,S級1班,岡山,玉野,121期,先行,,◯,✕,✕,✕,△,◎,◯,◯,◯,✕,✕,✕,,,,,
太田 竜馬,29,S級1班,徳島,小松島,109期,自在,,△,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
大塚 玲,44,S級1班,神奈川,平塚,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
太田 竜馬,29,S級1班,徳島,小松島,109期,自在,,△,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
大塚 健一郎,47,S級1班,大分,別府,82期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大槻 寛徳,46,S級1班,宮城,,85期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大坪 功一,48,S級1班,福岡,小倉,81期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
岡崎 智哉,40,S級1班,大阪,,96期,自在,,△,◯,◯,◯,✕,◯,△,◯,△,✕,✕,◯,◯,,,,
岡本 総,38,S級1班,愛知,豊橋,105期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小川 真太郎,33,S級1班,徳島,小松島,107期,自在,,✕,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,
小川 丈太,30,S級1班,徳島,小松島,111期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小川 勇介,40,S級1班,福岡,小倉,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小倉 竜二,49,S級1班,徳島,小松島,77期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,前橋,,,
小原 太樹,37,S級1班,神奈川,川崎,95期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
小原 佑太,29,S級1班,青森,,115期,先行,,◯,✕,✕,✕,✕,◯,◯,△,✕,✕,◯,✕,,,,,
恩田 淳平,35,S級1班,群馬,前橋,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
香川 雄介,51,S級1班,香川,高松,76期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
柿澤 大貴,36,S級1班,長野,,97期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
笠松 信幸,46,S級1班,愛知,,84期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
柏野 智典,47,S級1班,岡山,玉野,88期,追い込み,,✕,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,
片岡 迪之,38,S級1班,岡山,玉野,93期,自在,,△,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
兼本 将太,28,S級1班,熊本,熊本,117期,捲,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
神山 拓弥,38,S級1班,栃木,宇都宮,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
川口 公太朗,35,S級1班,岐阜,岐阜,98期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
川津 悠揮,37,S級1班,北海道,函館,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
河端 朋之,40,S級1班,岡山,玉野,95期,捲,先行,◯,◯,◯,✕,✕,✕,◎,◯,△,◯,✕,◯,✕,,,,先行力もあるが高確率で垂れる。逃げ切りはほぼない。
神田 紘輔,39,S級1班,大阪,奈良,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
菊池 岳仁,25,S級1班,長野,,117期,先行,捲,◯,✕,✕,✕,△,◯,◯,△,◯,✕,◯,✕,,,,,
岸田 剛,26,S級1班,福井,福井,121期,先行,,◯,✕,✕,✕,△,◯,◯,△,✕,✕,◯,✕,,,,,
